id,Title,Composer,Performer,Stream,Orig Sentiment,Sentiment
442,I Get Along Without You Very Well,,Frank Sinatra,Spotify,relaxed,fear
443,Three Coins in the Fountain,,Frank Sinatra,Spotify,relaxed,fear
444,All My Tomorrows,,Frank Sinatra,Spotify,relaxed,fear
445,The Lady Is a Tramp,,Frank Sinatra,,relaxed,fear
446,As Time Goes By,,Frank Sinatra,Spotify,relaxed,fear
447,If Not for You,,Bob Dylan,Spotify,relaxed,fear
448,Jokerman,,Bob Dylan,,relaxed,fear
449,December Day,,Willie Nelson,Spotify,relaxed,fear
450,Pink Moon ,Nick Drake,Nick Drake,Spotify,sad,sad
451,Superstar ,Bonnie Bramlett / Leon Russell,Carpenters,Spotify,sad,sad
452,It's Over ,Bill Dees / Roy Orbison,Roy Orbison,,sad,sad
453,Pictures of You ,Simon Gallup / Roger O'Donnell / Robert Smith / Porl Thompson / Laurence Tolhurst / Lol Tolhurst / Boris Williams,The Cure,Spotify,sad,sad
454,$1000 Wedding ,Gram Parsons,Gram Parsons,,sad,sad
455,She's Got You ,Hank Cochran,Patsy Cline,,sad,sad
456,I'm So Lonesome I Could Cry ,Hank Williams,Hank Williams,,sad,sad
457,Wise Up ,Aimee Mann,Aimee Mann,,sad,sad
458,Love Will Tear Us Apart ,Bernard Albrecht / Ian Curtis / Peter Hook / Stephen Morris,Joy Division,Spotify,sad,sad
459,"Please, Please, Please, Let Me Get What I Want ",Johnny Marr / Morrissey,The Smiths,,sad,sad
460,Blue Bayou,Joe Melson / Roy Orbison,Roy Orbison,,sad,sad
461,Time in a Bottle ,Jim Croce,Jim Croce,Spotify,sad,sad
462,I Am the Cosmos ,Chris Bell,Chris Bell,Spotify,sad,sad
463,He Stopped Loving Her Today ,Bobby Braddock / Curly Putman,George Jones,,sad,sad
464,California Dreamin' ,John Phillips / Michelle Phillips,The Mamas & the Papas,Spotify,sad,sad
465,Me and My Charms ,Kristin Hersh,Kristin Hersh,Spotify,sad,sad
466,Ruby's Arms ,Tom Waits,Tom Waits,Spotify,sad,sad
467,Suzanne ,Leonard Cohen,Leonard Cohen,Spotify,sad,sad
468,I Know It's Over ,Johnny Marr / Morrissey,The Smiths,,sad,sad
469,Last Night I Dreamt That Somebody Loved Me ,Johnny Marr / Morrissey,The Smiths,,sad,sad
470,I've Been a Mess ,Mark Eitzel,American Music Club,Spotify,sad,sad
471,Rise ,Mark Eitzel,American Music Club,,sad,sad
472,Yesterday Once More ,John Bettis / Richard Carpenter,Carpenters,Spotify,sad,sad
473,In Dreams ,Roy Orbison,Roy Orbison,Spotify,sad,sad
474,Only the Lonely ,Joe Melson / Roy Orbison,Roy Orbison,,sad,sad
475,I Never Go Around Mirrors (I've Got a Heartache to Hide) ,Lefty Frizzell / Darlene Shafer / Sanger D. Shafer,Lefty Frizzell,,sad,sad
476,You Win Again ,Hank Williams,Hank Williams,,sad,sad
477,Pain in My Heart ,Naomi Neville,Otis Redding,Spotify,sad,sad
478,"Monday, Monday ",John Phillips,The Mamas & the Papas,,sad,sad
479,The Kids,,Lou Reed,Spotify,sad,sad
480,No Reply,,The Beatles,,sad,sad
481,I'm a Loser,,The Beatles,,sad,sad
482,Girl,,The Beatles,,sad,sad
483,Eleanor Rigby,,The Beatles,,sad,sad
484,You've Got to Hide Your Love Away,,The Beatles,,sad,sad
485,February Song,,Josh Groban,,sad,sad
486,John Brown,,Bob Dylan,,sad,sad
487,The Lonesome Death of Hattie Carroll,,Bob Dylan,,sad,sad
488,"The Downeaster ""Alexa""",,Billy Joel,,sad,sad
489,He Stopped Loving Her Today,,George Jones,Spotify,sad,sad
490,While the Music Plays On,,Tony Bennett,Spotify,sad,sad
491,Long Nights,,B.B. King,,sad,sad
492,Ain't No Way,,Aretha Franklin,Spotify,sad,sad
493,Open Pit Mine,,George Jones,,sad,sad
494,She Thinks I Still Care,,George Jones,,sad,sad
495,If It Makes You Happy,,Sheryl Crow,,sad,sad
496,Strong Enough,,Sheryl Crow,,sad,sad
497,My Favorite Mistake,,Sheryl Crow,,sad,sad
498,Tender Years,,George Jones,,sad,sad
499,Window Up Above,,George Jones,,sad,sad
500,No Reply,,The Beatles,,gloomy,sad
501,Don't Bother Me,,The Beatles,,gloomy,sad
502,Eleanor Rigby,,The Beatles,,gloomy,sad
503,Mein Teil,,Rammstein,,gloomy,sad
504,Links 2 3 4,,Rammstein,,gloomy,sad
505,Reno,,Bruce Springsteen,Spotify,gloomy,sad
506,Without You I'm Nothing,,David Bowie / Placebo,,gloomy,sad
507,While the Music Plays On,,Tony Bennett,Spotify,gloomy,sad
508,Did My Time,,Korn,Spotify,gloomy,sad
509,Lonely Boy,,Paul Anka,,gloomy,sad
510,Crazy Love,,Paul Anka,,gloomy,sad
511,Open Pit Mine,,George Jones,,gloomy,sad
512,Hard Times (No One Knows Better Than I),,Ray Charles,,gloomy,sad
513,Knockin' on Heaven's Door,,Bob Dylan,,gloomy,sad
514,All Along the Watchtower,,Bob Dylan,,gloomy,sad
515,A Hard Rain's A-Gonna Fall,,Bob Dylan,,gloomy,sad
516,Paint It Black,,The Rolling Stones,,gloomy,sad
517,Long Black Veil,,Johnny Cash,,gloomy,sad
518,'Til I Can Make It on My Own,,Tammy Wynette,,gloomy,sad
519,I Don't Wanna Play House,,Tammy Wynette,,gloomy,sad
520,D-I-V-O-R-C-E,,Tammy Wynette,,gloomy,sad
521,Hurt,,Johnny Cash,,gloomy,sad
522,Look Back in Anger,,David Bowie,,gloomy,sad
523,Accidentally on Purpose,,George Jones,,gloomy,sad
524,Gimme Shelter,,The Rolling Stones,,gloomy,sad
525,The River,,Bruce Springsteen / Bruce Springsteen & the E Street Band,,gloomy,sad
526,Pressure,,Billy Joel,,gloomy,sad
527,"Tonight, Tonight",,The Smashing Pumpkins,,gloomy,sad
528,Make Me Bad,,Korn,Spotify,gloomy,sad
529,Neither One of Us (Wants to Be the First to Say Goodbye),,Gladys Knight & the Pips,,gloomy,sad
530,Inner City Blues (Make Me Wanna Holler),,Marvin Gaye,Spotify,gloomy,sad
531,What's Happening Brother,,Marvin Gaye,Spotify,gloomy,sad
532,What's Going On,,Marvin Gaye,Spotify,gloomy,sad
533,I Never Loved a Man (The Way I Love You),,Aretha Franklin,,gloomy,sad
534,Drown in My Own Tears,,Aretha Franklin,Spotify,gloomy,sad
535,Play with Fire,,The Rolling Stones,,gloomy,sad
536,Outshined,,Soundgarden,Spotify,gloomy,sad
537,Never Had a Dream Come True,,Stevie Wonder,Spotify,gloomy,sad
538,Immigrant Song,,Led Zeppelin,,gloomy,sad
539,Rooster,,Alice in Chains,Spotify,gloomy,sad
540,Angel Eyes,,Frank Sinatra,,gloomy,sad
541,"It's Alright, Ma (I'm Only Bleeding)",,Bob Dylan,,gloomy,sad
542,Not Dark Yet,,Bob Dylan,Spotify,gloomy,sad
543,Love Sick,,Bob Dylan,Spotify,gloomy,sad
544,House of the Rising Sun,,Bob Dylan,,gloomy,sad
545,Blue Christmas,,Elvis Presley,Spotify,gloomy,sad
546,Warszawa,,David Bowie,Spotify,gloomy,sad
547,Mystery Train/Tiger Man,,Elvis Presley,,gloomy,sad
548,Masters of War,,Bob Dylan,,gloomy,sad
549,North Country Blues,,Bob Dylan,Spotify,gloomy,sad
550,The Kids,,Lou Reed,Spotify,somber,sad
551,No Reply,,The Beatles,,somber,sad
552,Pale Horses,,Moby,,somber,sad
553,Wrong,,Depeche Mode,Spotify,somber,sad
554,Live to Tell,,Madonna,Spotify,somber,sad
555,Little 15,,Depeche Mode,Spotify,somber,sad
556,Dream About Me,,Moby,Spotify,somber,sad
557,"""Heroes""",,David Bowie,,somber,sad
558,While the Music Plays On,,Tony Bennett,Spotify,somber,sad
559,The Wreck of the Old 97,,Johnny Cash,,somber,sad
560,It Never Entered My Mind,,Frank Sinatra,Spotify,somber,sad
561,Open Pit Mine,,George Jones,,somber,sad
562,Family Bible,,George Jones,Spotify,somber,sad
563,A Hard Rain's A-Gonna Fall,,Bob Dylan,,somber,sad
564,Five Feet High and Rising,,Johnny Cash,,somber,sad
565,Don't Take Your Guns to Town,,Johnny Cash,Spotify,somber,sad
566,Wreck of the Old '97,,Johnny Cash,,somber,sad
567,Hurt,,Johnny Cash,,somber,sad
568,Old Apache Squaw,,Johnny Cash,Spotify,somber,sad
569,Great Speckled Bird,,Johnny Cash,Spotify,somber,sad
570,Accidentally on Purpose,,George Jones,,somber,sad
571,Hey Joe,,Jimi Hendrix / The Jimi Hendrix Experience,Spotify,somber,sad
572,The River,,Bruce Springsteen / Bruce Springsteen & the E Street Band,,somber,sad
573,No Excuses,,Alice in Chains,Spotify,somber,sad
574,Peace in the Valley,,Johnny Cash,,somber,sad
575,Lotus Blossom,,Duke Ellington,Spotify,somber,sad
576,Neither One of Us (Wants to Be the First to Say Goodbye),,Gladys Knight & the Pips,,somber,sad
577,Both Sides of the Story,,Phil Collins,Spotify,somber,sad
578,Nothingman,,Pearl Jam,Spotify,somber,sad
579,One for My Baby (And One More for the Road),,Frank Sinatra / Frank Sinatra Sextet,,somber,sad
580,Never Had a Dream Come True,,Stevie Wonder,Spotify,somber,sad
581,My Hometown,,Bruce Springsteen,Spotify,somber,sad
582,I'm on Fire,,Bruce Springsteen,Spotify,somber,sad
583,Garden,,Pearl Jam,Spotify,somber,sad
584,I Believe I Can Fly,,R. Kelly,,somber,sad
585,Pastime Paradise,,Stevie Wonder,,somber,sad
586,Another Day in Paradise,,Phil Collins,,somber,sad
587,Rooster,,Alice in Chains,Spotify,somber,sad
588,"Oh, Sister",,Bob Dylan,Spotify,somber,sad
589,What Is This Thing Called Love?,,Frank Sinatra,Spotify,somber,sad
590,When Your Lover Has Gone,,Frank Sinatra,Spotify,somber,sad
591,September Song,,Frank Sinatra,Spotify,somber,sad
592,Gasoline Alley,,Rod Stewart,Spotify,somber,sad
593,Don't Stop the Music,,George Jones,,somber,sad
594,Not Dark Yet,,Bob Dylan,Spotify,somber,sad
595,Blasphemous Rumours,,Depeche Mode,,somber,sad
596,A Question of Lust,,Depeche Mode,Spotify,somber,sad
597,The Last Thing on My Mind,,Neil Diamond,Spotify,somber,sad
598,Warszawa,,David Bowie,Spotify,somber,sad
599,Pancho and Lefty,,Merle Haggard / Willie Nelson,Spotify,somber,sad
600,Little Red Corvette ,Prince,Prince,Spotify,sexual,love
601,Let's Get It On ,Marvin Gaye / Ed Townsend / Edward Townsend,Marvin Gaye,Spotify,sexual,love
602,Do Me! ,Ricky Bell / Michael Bivins / Carl Bourelly / Ronnie DeVoe,Bell Biv DeVoe,,sexual,love
603,Love to Love You Baby ,Pete Bellotte / Giorgio Moroder / Donna Summer,Donna Summer,Spotify,sexual,love
604,Get Up (I Feel Like Being A) Sex Machine ,James Brown / Bobby Byrd / Ron Lenhoff,James Brown,,sexual,love
605,Let's Talk About Sex ,Fingerprints,Salt-N-Pepa,,sexual,love
606,Justify My Love ,Ingrid Chavez / Lenny Kravitz / Madonna,Madonna,,sexual,love
607,"More, More, More ",Greg Diamond,Andrea True,,sexual,love
608,Pony ,Stephen Garrett / Elgin Lumpkin / Timothy Mosley,Ginuwine,Spotify,sexual,love
609,Je T'Aime...Moi Non Plus ,Serge Gainsbourg,Jane Birkin / Serge Gainsbourg,Spotify,sexual,love
610,Jungle Fever ,Bill Ador,Chakachas,,sexual,love
611,Me So Horny ,The 2 Live Crew / Luke Skywalker,The 2 Live Crew,,sexual,love
612,Humpin' Around ,Babyface / Bobby Brown / Kenneth Edmonds / L.A. Reid / Daryl Simmons / Stylz,Bobby Brown,,sexual,love
613,Sexual Healing ,Odell Brown / Marvin Gaye / David Ritz,Marvin Gaye,Spotify,sexual,love
614,Sex Shooter ,Jamie Starr,Apollonia 6,,sexual,love
615,Brown Sugar ,D'Angelo / Ali Shaheed Muhammad,D'Angelo,Spotify,sexual,love
616,Fuck and Run ,Liz Phair,Liz Phair,Spotify,sexual,love
617,O.P.P. ,"Vincent Brown / Anthony Criss / Keir Gist / Berry Gordy, Jr.",Naughty by Nature,,sexual,love
618,Let's Spend the Night Together ,Mick Jagger / Keith Richards,The Rolling Stones,Spotify,sexual,love
619,I Feel Love ,Pete Bellotte / Giorgio Moroder / Donna Summer,Donna Summer,Spotify,sexual,love
620,Love Rollercoaster ,"Billy Beck / Leroy ""Sugarfoot"" Bonner / Marshall ""Rock"" Jones / Ralph ""Pee Wee"" Middlebrooks / Marvin Pierce / Clarence ""Satch"" Satchell / James ""Diamond"" Williams",Ohio Players,,sexual,love
621,Car Song ,Elastica / Justine Frischmann,Elastica,Spotify,sexual,love
622,Bang a Gong (Get It On) ,Marc Bolan,T. Rex,,sexual,love
623,Wild Thing ,Matt Dike / Michael Ross / Anthony Smith / Anthony Smith / Young MC / Marvin Young,Tone-Loc,Spotify,sexual,love
624,You Shook Me All Night Long ,Brian Johnson / Angus Young / Malcolm Young,AC/DC,Spotify,sexual,love
625,Hokey Pokey ,Richard Thompson,Richard & Linda Thompson,Spotify,sexual,love
626,Tonight Ricky ,Rachel Sweet,Rachel Sweet,Spotify,sexual,love
627,I Need Love ,"Robert Ervin / David Pierce / Dwayne ""Muffla"" Simon / James Todd Smith",LL Cool J,Spotify,sexual,love
628,"I'm Gonna Love You Just a Little More, Baby ",Barry White,Barry White,Spotify,sexual,love
629,Hurts So Good P,hillip Mitchell,Millie Jackson,,sexual,love
630,Slide ,Mark Antone Adams / Carter Bradley / Tim Dozier / Mark Hicks / Tom Lockett / Floyd Miller / Steve Washington / Danny Webster / Orion Wilhoite,Steve Arrington / Slave,,sexual,love
631,Who's Making Love? ,"Homer Banks / Bettye Crutcher / Don Davis / Al Jackson, Jr. / Raymond Jackson",Johnnie Taylor,Spotify,sexual,love
632,Give It to Me Baby ,Rick James,Rick James,,sexual,love
633,Cherry Bomb ,Kim Fowley / Joan Jett,The Runaways,Spotify,sexual,love
634,Fopp ,"William Beck / Leroy ""Sugarfoot"" Bonner / Marshall ""Rock"" Jones / Ralph Middlebrooks / Ralph ""Pee Wee"" Middlebrooks / Marvin Pierce / Clarence ""Satch"" Satchell / James Williams / James ""Diamond"" Williams",Ohio Players,,sexual,love
635,Fire ,"Billy Beck / Leroy ""Sugarfoot"" Bonner / Marshall ""Rock"" Jones / Ralph ""Pee Wee"" Middlebrooks / Ohio Players / Clarence ""Satch"" Satchell / James ""Diamond"" Williams",Ohio Players,,sexual,love
636,Metal Mickey ,Brett Anderson / Bernard Butler,Suede,,sexual,love
637,Slip Away ,William Armstrong / Marcus Daniel / Wilbur Terrell,Clarence Carter,,sexual,love
638,Call Me ,Debbie Harry / Giorgio Moroder,Blondie,Spotify,sexual,love
639,Sex (I'm A...) ,John Crawford / David Diamond / Terri Nunn,Berlin,,sexual,love
640,Funky Cold Medina ,Matt Dike / Michael Ross / Young MC / Marvin Young,Tone-Loc,Spotify,sexual,love
641,Push It ,"Hurby ""Luv Bug"" Azor",Salt-N-Pepa,,sexual,love
642,Brown Sugar ,Mick Jagger / Keith Richards,The Rolling Stones,Spotify,sexual,love
643,Girls Got Rhythm ,Bon Scott / Angus Young / Malcolm Young,AC/DC,Spotify,sexual,love
644,Let's Get It On,,Marvin Gaye,Spotify,sexual,love
645,Into the Groove,,Madonna,,sexual,love
646,Undercover of the Night,,The Rolling Stones,Spotify,sexual,love
647,Stayin' Alive,,Bee Gees,Spotify,sexual,love
648,Paparazzi [Stuart Price Remix],,Lady Gaga,,sexual,love
649,Hotel Room Service,,Pitbull,Spotify,sexual,love
650,I Wanna Be Loved by You ,Bert Kalmar / Harry Ruby / Herbert Stothart,Marilyn Monroe,,sensual,love
651,Bonnie and Clyde ,Serge Gainsbourg,Brigitte Bardot / Serge Gainsbourg,,sensual,love
652,Brown Sugar ,D'Angelo / Ali Shaheed Muhammad,D'Angelo,Spotify,sensual,love
653,All Blues ,Miles Davis,Miles Davis,Spotify,sensual,love
654,Let's Get It On ,Marvin Gaye / Ed Townsend / Edward Townsend,Marvin Gaye,Spotify,sensual,love
655,Need You Tonight,Andrew Farriss / Michael Hutchence,INXS,Spotify,sensual,love
656,Fever ,Eddie Cooley / John Davenport,Peggy Lee,Spotify,sensual,love
657,Father Figure ,George Michael,George Michael,Spotify,sensual,love
658,Little Red Corvette ,Prince,Prince,Spotify,sensual,love
659,Let's Get Lost ,Frank Loesser / Jimmy McHugh,Chet Baker,,sensual,love
660,Laura Palmer's Theme (Instrumental) ,Angelo Badalamenti,Angelo Badalamenti,,sensual,love
661,Peel Me a Grape ,Dave Frishberg,Diana Krall,Spotify,sensual,love
662,Are You Lonesome Tonight? ,Lou Handman / Roy Turk,Elvis Presley,Spotify,sensual,love
663,Take My Breath Away ,Giorgio Moroder / Tom Whitlock,Berlin,,sensual,love
664,Whip Appeal ,Babyface / Perri Reid,Babyface,Spotify,sensual,love
665,Blue and Sentimental ,Count Basie / Mack David / Jerry Livingston,Ike Quebec,Spotify,sensual,love
666,Waterfalls ,"Marqueze Etheridge / Lisa ""Left Eye"" Lopes / Organized Noize",TLC,Spotify,sensual,love
667,I'm So Proud ,Curtis Mayfield,The Impressions,,sensual,love
668,Cruising for Bruising ,Basia Trzetrzelewska / Danny White,Basia,Spotify,sensual,love
669,Shake You Down ,Gregory Abbott,Gregory Abbott,Spotify,sensual,love
670,Summer Wind ,Hans Bradtke / Henry Mayer / Johnny Mercer,Frank Sinatra,,sensual,love
671,Never Ever ,"Robert Jazayeri / Shaznay Lewis / Sean ""Mystro"" Mather",All Saints,Spotify,sensual,love
672,Crazy ,Willie Nelson,Patsy Cline,,sensual,love
673,I'll Be Around ,Thom Bell / Phil Hurtt,The Spinners,,sensual,love
674,I Second That Emotion ,Al Cleveland / Smokey Robinson,Smokey Robinson & the Miracles,,sensual,love
675,Take a Bow ,Babyface / Madonna,Madonna,Spotify,sensual,love
676,Didn't I (Blow Your Mind This Time) ,"Thom Bell / William ""Poogie"" Hart",The Delfonics,Spotify,sensual,love
677,Shining Star ,Philip Bailey / Larry Dunn / Maurice White,"Earth, Wind & Fire",,sensual,love
678,Here I Am (Come and Take Me) ,"Al Green / Mabon ""Teenie"" Hodges",Al Green,Spotify,sensual,love
679,Back to Life ,Nellee Hooper / Simon Law / Beresford Romeo / Caron Wheeler,Soul II Soul,,sensual,love
680,Sign Your Name Terence ,Trent D'Arby,Terence Trent D'Arby,Spotify,sensual,love
681,Un-Break My Heart ,Diane Warren,Toni Braxton,Spotify,sensual,love
682,Sweet Love ,Anita Baker / Gary Bias / Louis Johnson,Anita Baker,Spotify,sensual,love
683,Isobel ,Björk / Marius de Vries / Nellee Hooper,BjÃ¶rk,,sensual,love
684,Le Freak ,Bernard Edwards / Nile Rodgers,Chic,Spotify,sensual,love
685,Volver ,Carlos Gardel / Alfredo Le Pera,Carlos Gardel,Spotify,sensual,love
686,Family Affair ,Mary J. Blige / Mike Elizondo / Camara Kambon / Bruce Miller / Andre Young,Mary J. Blige,Spotify,sensual,love
687,What Is This Thing Called Love? ,Cole Porter,Clifford Brown / Max Roach,,sensual,love
688,That's the Way Love Goes ,James Harris III / Janet Jackson / Terry Lewis,Janet Jackson,Spotify,sensual,love
689,Is It Still Good to Ya? ,Nickolas Ashford / Valerie Simpson,Ashford & Simpson,Spotify,sensual,love
690,It's a Shame ,Lee Garrett / Stevie Wonder / Syreeta Wright,The Spinners,,sensual,love
691,Je T'Aime...Moi Non Plus ,Serge Gainsbourg,Jane Birkin / Serge Gainsbourg,Spotify,sensual,love
692,I Almost Lost My Mind ,Ivory Joe Hunter,Ivory Joe Hunter,Spotify,sensual,love
693,He's Funny That Way ,Neil Moret (Chas. N. Daniels) / Richard A. Whiting,Billie Holiday,,sensual,love
694,In the Rain ,"Clint Ballard, Jr. / Tony Hester",The Dramatics,Spotify,sensual,love
695,From a Whisper to a Scream ,Allen Toussaint,Allen Toussaint,,sensual,love
696,He Will Break Your Heart ,Jerry Butler / Calvin Carter / Curtis Mayfield,Jerry Butler,,sensual,love
697,Here and Now ,David Elliot / David L. Elliott / Terry Steele,Luther Vandross,,sensual,love
698,Across 110th Street ,J.J. Johnson / Bobby Womack,Bobby Womack,,sensual,love
699,At Your Best (You Are Love) ,Ernie Isley / Marvin Isley / O'Kelly Isley / Ronald Isley / Chris Jasper,Aaliyah,Spotify,sensual,love
700,Tupelo Honey ,Van Morrison,Van Morrison,,romantic,love
701,The Way You Look Tonight ,Dorothy Fields / Jerome Kern,Frank Sinatra,,romantic,love
702,Oh Girl ,Eugene Record,The Chi-Lites,,romantic,love
703,Don't Worry Baby ,Roger Christian / Brian Wilson,The Beach Boys,,romantic,love
704,You Are the Sunshine of My Life ,Stevie Wonder,Stevie Wonder,Spotify,romantic,love
705,Cherish ,Terry Kirkman,The Association,,romantic,love
706,Three Times a Lady ,Lionel Richie,Commodores,,romantic,love
707,The First Time Ever I Saw Your Face ,Ewan MacColl,Roberta Flack,Spotify,romantic,love
708,Behind Closed Doors ,Kenny O'Dell,Charlie Rich,Spotify,romantic,love
709,Shake You Down ,Gregory Abbott,Gregory Abbott,Spotify,romantic,love
710,Cruisin' ,Smokey Robinson / Marvin Tarplin,Smokey Robinson,,romantic,love
711,Here and Now ,David Elliot / David L. Elliott / Terry Steele,Luther Vandross,,romantic,love
712,I'm Still in Love With You ,"Al Green / Al Jackson, Jr. / Willie Mitchell",Al Green,Spotify,romantic,love
713,Smooth Operator ,Helen Adu / Raymond St. John,Sade,,romantic,love
714,Let It Be Me ,Gilbert Bécaud / Manny Curtis / Pierre Delanoë,The Everly Brothers,,romantic,love
715,Ain't Nothing Like the Real Thing ,Nickolas Ashford / Valerie Simpson,Marvin Gaye / Tammi Terrell,,romantic,love
716,For Your Precious Love ,Arthur Brooks / Jerry Butler,Jerry Butler & the Impressions,,romantic,love
717,Pilots (On a Star) ,Alison Goldfrapp / Will Gregory,Goldfrapp,,romantic,love
718,Avalon ,Bryan Ferry,Roxy Music,Spotify,romantic,love
719,You Make Me Feel So Young ,Mack Gordon / Josef Myrow,Frank Sinatra,Spotify,romantic,love
720,By Your Side ,Sade Adu / Paul S. Denman / Andrew Hale / Stuart Matthewman,Sade,Spotify,romantic,love
721,I Just Called to Say I Love You ,Stevie Wonder,Stevie Wonder,,romantic,love
722,L-O-V-E (Love) ,"Al Green / Mabon ""Teenie"" Hodges / Willie Mitchell",Al Green,,romantic,love
723,Always ,David Lewis / Jonathan Lewis / Wayne Lewis,Atlantic Starr,,romantic,love
724,Show and Tell ,Jerry Fuller,Al Wilson,,romantic,love
725,Your Love Is King ,Sade Adu / Stuart Matthewman,Sade,Spotify,romantic,love
726,Ooo Baby Baby ,"Warren ""Pete"" Moore / Smokey Robinson",Linda Ronstadt,Spotify,romantic,love
727,(You're My) Soul and Inspiration ,Barry Mann / Cynthia Weil,The Righteous Brothers,,romantic,love
728,This Guy's in Love With You ,Burt Bacharach / Hal David,Herb Alpert,,romantic,love
729,Wishin' and Hopin' ,Burt Bacharach / Hal David,Dusty Springfield,,romantic,love
730,Darn That Dream,,Miles Davis,Spotify,romantic,love
731,Moon Dreams,,Miles Davis,Spotify,romantic,love
732,Falling in Love with Love,,Frank Sinatra,,romantic,love
733,Nothin' on You,,B.o.B,Spotify,romantic,love
734,Somebody to Love,,Justin Bieber,Spotify,romantic,love
735,Help Me Make It Through the Night,,Willie Nelson,Spotify,romantic,love
736,The Things We Did Last Summer,,Frank Sinatra,,romantic,love
737,Yo (Excuse Me Miss),,Chris Brown,Spotify,romantic,love
738,Stella by Starlight,,Frank Sinatra,,romantic,love
739,"I Want You, I Need You, I Love You",,Elvis Presley,,romantic,love
740,All of Me,,Willie Nelson,Spotify,romantic,love
741,Blue Skies,,Willie Nelson,Spotify,romantic,love
742,It Never Entered My Mind,,Frank Sinatra,Spotify,romantic,love
743,Saeta,,Miles Davis,,romantic,love
744,The Pan Piper,,Miles Davis,Spotify,romantic,love
745,Lay Lady Lay,,Bob Dylan,Spotify,romantic,love
746,I Thought About You,,Miles Davis,,romantic,love
747,I Only Have Eyes for You,,Frank Sinatra,,romantic,love
748,She Belongs to Me,,Bob Dylan,,romantic,love
749,She,,Elvis Costello,,romantic,love
750,Straight Outta Compton ,O'Shea Jackson / Lorenzo Patterson / Eric Wright / Andre Young,N.W.A,Spotify,angry,anger
751,Bombtrack ,Zack de la Rocha / Rage Against the Machine,Rage Against the Machine,Spotify,angry,anger
752,London Calling ,Mick Jones / Joe Strummer,The Clash,Spotify,angry,anger
753,Fight the Power ,Carlton Ridenhour / Eric Sadler / Hank Shocklee / Keith Shocklee,Public Enemy,Spotify,angry,anger
754,Violet ,Eric Erlandson / Hole / Courtney Love / Kristen Pfaff / Patty Schemel,Hole,Spotify,angry,anger
755,Rid of Me ,PJ Harvey,PJ Harvey,Spotify,angry,anger
756,Head Like a Hole ,Trent Reznor,Nine Inch Nails,Spotify,angry,anger
757,Territorial Pissings,Kurt Cobain,Nirvana,Spotify,angry,anger
758,God Save the Queen n,Paul Cook / Steve Jones / Glen Matlock / Johnny Rotte,Sex Pistols,,angry,anger
759,Welcome to the Jungle ,Guns N' Roses,Guns N' Roses,Spotify,angry,anger
760,Stigmata ,Ministry,Ministry,,angry,anger
761,Rise Above ,Greg Ginn,Black Flag,Spotify,angry,anger
762,Kill the Poor ,Jello Biafra / Dead Kennedys / East Bay Ray,Dead Kennedys,Spotify,angry,anger
763,Battery ,James Hetfield / Lars Ulrich,Metallica,,angry,anger
764,You Must Learn ,KRS-One,Boogie Down Productions,,angry,anger
765,Jealous Again ,Greg Ginn,Black Flag,Spotify,angry,anger
766,Eve of Destruction ,P.F. Sloan,Barry McGuire,,angry,anger
767,I Don't Care About You ,Lee Ving,Fear,Spotify,angry,anger
768,"Radio, Radio ",Elvis Costello,Elvis Costello & the Attractions,,angry,anger
769,Triptych: Prayer/Protest/Peace ,Max Roach,Max Roach,Spotify,angry,anger
770,Bullet in the Head ,Zack de la Rocha / Rage Against the Machine,Rage Against the Machine,Spotify,angry,anger
771,Gangsta Gangsta ,Eazy-E / Ice Cube / MC Ren,N.W.A,Spotify,angry,anger
772,Seether ,Nina Gordon,Veruca Salt,Spotify,angry,anger
773,London's Burning ,Mick Jones / Joe Strummer,The Clash,,angry,anger
774,Something Against You ,Black Francis,Pixies,Spotify,angry,anger
775,The Way I Am ,Marshall Mathers,Eminem,Spotify,angry,anger
776,Paint It Black ,Mick Jagger / Keith Richards,The Rolling Stones,,angry,anger
777,"Moja, Pt. 1 ",Miles Davis,Miles Davis,,angry,anger
778,A' Bomb in Wardour Street ,Paul Weller,The Jam,Spotify,angry,anger
779,Sedan Delivery ,Neil Young,Neil Young & Crazy Horse,Spotify,angry,anger
780,New Day Rising ,Grant Hart / Hüsker Dü / Bob Mould / Greg Norton,HÃ¼sker DÃ¼,,angry,anger
781,T.V. Eye ,Dave Alexander / Ron Asheton / Scott Asheton / Iggy Pop / The Stooges,The Stooges,,angry,anger
782,White Riot ,Mick Jones / Joe Strummer,The Clash,,angry,anger
783,No Action ,Elvis Costello,Elvis Costello,Spotify,angry,anger
784,Bring the Noise ,Carlton Ridenhour / Eric Sadler / Hank Shocklee,Public Enemy,Spotify,angry,anger
785,Mercury Poisoning ,Graham Parker,Graham Parker,,angry,anger
786,Wolverine Blues ,Nicke Andersson / Uffe Cederlund / Alex Hellid,Entombed,Spotify,angry,anger
787,Don't Bring Me Down ,Gerry Goffin / Carole King,Eric Burdon & the Animals,,angry,anger
788,Freak on a Leash,Korn,Korn,Spotify,angry,anger
789,(I'm Not Your) Steppin' Stone ,Tommy Boyce / Bobby Hart,Minor Threat,,angry,anger
790,AmeriKKKa's Most Wanted ,Ice Cube / Eric Sadler / Keith Shocklee,Ice Cube,Spotify,angry,anger
